Experiment Results:
Epoch 191: Train Loss = 0.3836, Val Acc = 0.6000
Epoch 192: Train Loss = 0.2346, Val Acc = 0.7304
Epoch 193: Train Loss = 0.2477, Val Acc = 0.7217
Epoch 194: Train Loss = 0.2328, Val Acc = 0.6957
Epoch 195: Train Loss = 0.3296, Val Acc = 0.6261
Epoch 196: Train Loss = 0.2439, Val Acc = 0.6435
Epoch 197: Train Loss = 0.2272, Val Acc = 0.6957
Epoch 198: Train Loss = 0.2142, Val Acc = 0.7652
Epoch 199: Train Loss = 0.2309, Val Acc = 0.7826
Epoch 200: Train Loss = 0.2291, Val Acc = 0.7478
Epoch 201: Train Loss = 0.2291, Val Acc = 0.7826
Epoch 202: Train Loss = 0.3985, Val Acc = 0.5739
Epoch 203: Train Loss = 0.3184, Val Acc = 0.6087
Epoch 204: Train Loss = 0.2235, Val Acc = 0.7739
Epoch 205: Train Loss = 0.2346, Val Acc = 0.6783
Epoch 206: Train Loss = 0.2644, Val Acc = 0.6522
Epoch 207: Train Loss = 0.3799, Val Acc = 0.5652
Epoch 208: Train Loss = 0.2421, Val Acc = 0.6609
Epoch 209: Train Loss = 0.3259, Val Acc = 0.6087
Epoch 210: Train Loss = 0.3259, Val Acc = 0.6261
Epoch 211: Train Loss = 0.2291, Val Acc = 0.7130
Epoch 212: Train Loss = 0.2123, Val Acc = 0.7652
Epoch 213: Train Loss = 0.2328, Val Acc = 0.6783
Epoch 214: Train Loss = 0.3855, Val Acc = 0.5913
Epoch 215: Train Loss = 0.3426, Val Acc = 0.6174
Epoch 216: Train Loss = 0.2272, Val Acc = 0.7478
Epoch 217: Train Loss = 0.3184, Val Acc = 0.6000
Epoch 218: Train Loss = 0.4358, Val Acc = 0.5739
Epoch 219: Train Loss = 0.2495, Val Acc = 0.6696
Epoch 220: Train Loss = 0.2272, Val Acc = 0.7739
Epoch 221: Train Loss = 0.2309, Val Acc = 0.7652
Epoch 222: Train Loss = 0.2458, Val Acc = 0.7304
Epoch 223: Train Loss = 0.2328, Val Acc = 0.6957
Epoch 224: Train Loss = 0.2495, Val Acc = 0.6870
Epoch 225: Train Loss = 0.2533, Val Acc = 0.6696
Epoch 226: Train Loss = 0.2309, Val Acc = 0.7565
Epoch 227: Train Loss = 0.2439, Val Acc = 0.7826
Epoch 228: Train Loss = 0.2328, Val Acc = 0.7913
Epoch 229: Train Loss = 0.2272, Val Acc = 0.7826
Epoch 230: Train Loss = 0.2328, Val Acc = 0.7478
Epoch 231: Train Loss = 0.3203, Val Acc = 0.5913
Epoch 232: Train Loss = 0.2477, Val Acc = 0.7826
Epoch 233: Train Loss = 0.2291, Val Acc = 0.7217
Epoch 234: Train Loss = 0.2458, Val Acc = 0.8000
Epoch 235: Train Loss = 0.2309, Val Acc = 0.7652
Epoch 236: Train Loss = 0.2644, Val Acc = 0.7826
Epoch 237: Train Loss = 0.2346, Val Acc = 0.7478
Epoch 238: Train Loss = 0.2644, Val Acc = 0.7913
Epoch 239: Train Loss = 0.2346, Val Acc = 0.7826
Epoch 240: Train Loss = 0.2402, Val Acc = 0.6696
Epoch 241: Train Loss = 0.2477, Val Acc = 0.7565
Epoch 242: Train Loss = 0.2328, Val Acc = 0.7391
Epoch 243: Train Loss = 0.2514, Val Acc = 0.7043
Epoch 244: Train Loss = 0.2309, Val Acc = 0.7391
Epoch 245: Train Loss = 0.2216, Val Acc = 0.7652
Epoch 246: Train Loss = 0.2588, Val Acc = 0.6435
Epoch 247: Train Loss = 0.2570, Val Acc = 0.6348
Epoch 248: Train Loss = 0.2272, Val Acc = 0.7652
Epoch 249: Train Loss = 0.2235, Val Acc = 0.7478
Epoch 250: Train Loss = 0.2216, Val Acc = 0.7565
Epoch 251: Train Loss = 0.2309, Val Acc = 0.7826
Epoch 252: Train Loss = 0.2235, Val Acc = 0.7391
Epoch 253: Train Loss = 0.2384, Val Acc = 0.6783
Epoch 254: Train Loss = 0.2346, Val Acc = 0.6957
Epoch 255: Train Loss = 0.2402, Val Acc = 0.6696
Epoch 256: Train Loss = 0.2179, Val Acc = 0.7652
Epoch 257: Train Loss = 0.2551, Val Acc = 0.7652
Epoch 258: Train Loss = 0.2533, Val Acc = 0.6783
Epoch 259: Train Loss = 0.2402, Val Acc = 0.7043
Epoch 260: Train Loss = 0.2346, Val Acc = 0.7652
Epoch 261: Train Loss = 0.4358, Val Acc = 0.5478
Epoch 262: Train Loss = 0.2402, Val Acc = 0.7043
Epoch 263: Train Loss = 0.2421, Val Acc = 0.6957
Epoch 264: Train Loss = 0.3035, Val Acc = 0.5913
Epoch 265: Train Loss = 0.3073, Val Acc = 0.6000
Epoch 266: Train Loss = 0.2272, Val Acc = 0.7304
Epoch 267: Train Loss = 0.4674, Val Acc = 0.4870
Epoch 268: Train Loss = 0.2123, Val Acc = 0.7739
Epoch 269: Train Loss = 0.2514, Val Acc = 0.6435
Epoch 270: Train Loss = 0.4339, Val Acc = 0.5304
Epoch 271: Train Loss = 0.2272, Val Acc = 0.7739
Epoch 272: Train Loss = 0.2328, Val Acc = 0.7826
Epoch 273: Train Loss = 0.2402, Val Acc = 0.7826
Epoch 274: Train Loss = 0.2179, Val Acc = 0.7652
Epoch 275: Train Loss = 0.3240, Val Acc = 0.6174
Epoch 276: Train Loss = 0.2365, Val Acc = 0.7652
Epoch 277: Train Loss = 0.2365, Val Acc = 0.7826
Epoch 278: Train Loss = 0.2197, Val Acc = 0.7565
Epoch 279: Train Loss = 0.2291, Val Acc = 0.7913
Epoch 280: Train Loss = 0.2328, Val Acc = 0.7652
Epoch 281: Train Loss = 0.2309, Val Acc = 0.7043
Epoch 282: Train Loss = 0.4544, Val Acc = 0.5130
Epoch 283: Train Loss = 0.2439, Val Acc = 0.7043
Epoch 284: Train Loss = 0.2533, Val Acc = 0.6609
Epoch 285: Train Loss = 0.2309, Val Acc = 0.7739
Epoch 286: Train Loss = 0.2309, Val Acc = 0.7304
Epoch 287: Train Loss = 0.2328, Val Acc = 0.7130
Epoch 288: Train Loss = 0.2533, Val Acc = 0.6348
Epoch 289: Train Loss = 0.3222, Val Acc = 0.6087
Epoch 290: Train Loss = 0.3017, Val Acc = 0.6174
Epoch 291: Train Loss = 0.3333, Val Acc = 0.6000
Epoch 292: Train Loss = 0.2365, Val Acc = 0.7652
Epoch 293: Train Loss = 0.3110, Val Acc = 0.5913
Epoch 294: Train Loss = 0.2924, Val Acc = 0.6087
Epoch 295: Train Loss = 0.2309, Val Acc = 0.7652
Epoch 296: Train Loss = 0.3128, Val Acc = 0.6087
Epoch 297: Train Loss = 0.3259, Val Acc = 0.6174
Epoch 298: Train Loss = 0.2291, Val Acc = 0.7304
Epoch 299: Train Loss = 0.4469, Val Acc = 0.5217
Epoch 300: Train Loss = 0.2309, Val Acc = 0.7565
Epoch 301: Train Loss = 0.2570, Val Acc = 0.6435
Epoch 302: Train Loss = 0.2291, Val Acc = 0.7565
Epoch 303: Train Loss = 0.3333, Val Acc = 0.6174
Epoch 304: Train Loss = 0.2309, Val Acc = 0.7826
Epoch 305: Train Loss = 0.2197, Val Acc = 0.7565
Epoch 306: Train Loss = 0.2235, Val Acc = 0.7130
Epoch 307: Train Loss = 0.2253, Val Acc = 0.7217
Epoch 308: Train Loss = 0.3966, Val Acc = 0.6000
Epoch 309: Train Loss = 0.3277, Val Acc = 0.6087
Epoch 310: Train Loss = 0.2272, Val Acc = 0.7217
Epoch 311: Train Loss = 0.2570, Val Acc = 0.6522
Epoch 312: Train Loss = 0.2235, Val Acc = 0.7652
Epoch 313: Train Loss = 0.2253, Val Acc = 0.7304
Epoch 314: Train Loss = 0.2235, Val Acc = 0.7304
Epoch 315: Train Loss = 0.2756, Val Acc = 0.6609
Epoch 316: Train Loss = 0.2439, Val Acc = 0.6870
Epoch 317: Train Loss = 0.2179, Val Acc = 0.7478
Epoch 318: Train Loss = 0.2253, Val Acc = 0.7739
Epoch 319: Train Loss = 0.2272, Val Acc = 0.7652
Epoch 320: Train Loss = 0.2439, Val Acc = 0.7913
Epoch 321: Train Loss = 0.2588, Val Acc = 0.7826
Epoch 322: Train Loss = 0.2626, Val Acc = 0.8000
Epoch 323: Train Loss = 0.2272, Val Acc = 0.7826
Epoch 324: Train Loss = 0.2328, Val Acc = 0.7391
Epoch 325: Train Loss = 0.2235, Val Acc = 0.7913
Epoch 326: Train Loss = 0.2216, Val Acc = 0.7565
Epoch 327: Train Loss = 0.3259, Val Acc = 0.6348
Epoch 328: Train Loss = 0.2533, Val Acc = 0.6609
Epoch 329: Train Loss = 0.2626, Val Acc = 0.6522
Epoch 330: Train Loss = 0.2588, Val Acc = 0.6783
Epoch 331: Train Loss = 0.2365, Val Acc = 0.7391
Epoch 332: Train Loss = 0.2291, Val Acc = 0.7217
Epoch 333: Train Loss = 0.2216, Val Acc = 0.7043
Epoch 334: Train Loss = 0.2197, Val Acc = 0.7391
Epoch 335: Train Loss = 0.2309, Val Acc = 0.6957
Epoch 336: Train Loss = 0.2235, Val Acc = 0.7304
Epoch 337: Train Loss = 0.2272, Val Acc = 0.7217
Epoch 338: Train Loss = 0.2346, Val Acc = 0.6696
Epoch 339: Train Loss = 0.2328, Val Acc = 0.8000
Epoch 340: Train Loss = 0.2346, Val Acc = 0.8000
Epoch 341: Train Loss = 0.2253, Val Acc = 0.7304
Epoch 342: Train Loss = 0.2365, Val Acc = 0.7739
Epoch 343: Train Loss = 0.2272, Val Acc = 0.7652
Epoch 344: Train Loss = 0.2160, Val Acc = 0.7565
Epoch 345: Train Loss = 0.3315, Val Acc = 0.6261
Epoch 346: Train Loss = 0.3259, Val Acc = 0.6087
Epoch 347: Train Loss = 0.2235, Val Acc = 0.7565
Epoch 348: Train Loss = 0.2235, Val Acc = 0.7217
Epoch 349: Train Loss = 0.2663, Val Acc = 0.6609
Epoch 350: Train Loss = 0.2179, Val Acc = 0.7565
Epoch 351: Train Loss = 0.2365, Val Acc = 0.7304
Epoch 352: Train Loss = 0.2328, Val Acc = 0.7913
Epoch 353: Train Loss = 0.2439, Val Acc = 0.7217
Epoch 354: Train Loss = 0.2365, Val Acc = 0.7391
Epoch 355: Train Loss = 0.2346, Val Acc = 0.7304
Epoch 356: Train Loss = 0.2253, Val Acc = 0.7217
Epoch 357: Train Loss = 0.2253, Val Acc = 0.7826
Epoch 358: Train Loss = 0.2458, Val Acc = 0.6783
Epoch 359: Train Loss = 0.2179, Val Acc = 0.7565
Epoch 360: Train Loss = 0.2253, Val Acc = 0.7826
Epoch 361: Train Loss = 0.2328, Val Acc = 0.7391
Epoch 362: Train Loss = 0.2439, Val Acc = 0.7826
Epoch 363: Train Loss = 0.2365, Val Acc = 0.7043
Epoch 364: Train Loss = 0.3855, Val Acc = 0.5913
Epoch 365: Train Loss = 0.2291, Val Acc = 0.6957
Epoch 366: Train Loss = 0.2309, Val Acc = 0.7739
Epoch 367: Train Loss = 0.2160, Val Acc = 0.7652
Epoch 368: Train Loss = 0.2235, Val Acc = 0.7565
Epoch 369: Train Loss = 0.2142, Val Acc = 0.7565
Epoch 370: Train Loss = 0.2402, Val Acc = 0.7130
Epoch 371: Train Loss = 0.2682, Val Acc = 0.6348
Epoch 372: Train Loss = 0.3110, Val Acc = 0.6174
Epoch 373: Train Loss = 0.5326, Val Acc = 0.4174
Epoch 374: Train Loss = 0.2533, Val Acc = 0.6696
Epoch 375: Train Loss = 0.2328, Val Acc = 0.7217
Epoch 376: Train Loss = 0.3687, Val Acc = 0.6087
Epoch 377: Train Loss = 0.2291, Val Acc = 0.7652
Epoch 378: Train Loss = 0.2346, Val Acc = 0.7826
Epoch 379: Train Loss = 0.2328, Val Acc = 0.7043
Epoch 380: Train Loss = 0.2551, Val Acc = 0.6435
Epoch 381: Train Loss = 0.2477, Val Acc = 0.6609
Epoch 382: Train Loss = 0.2402, Val Acc = 0.6783
Epoch 383: Train Loss = 0.2477, Val Acc = 0.6522
Epoch 384: Train Loss = 0.2495, Val Acc = 0.6783
Epoch 385: Train Loss = 0.2384, Val Acc = 0.7391
Epoch 386: Train Loss = 0.2216, Val Acc = 0.7304
Epoch 387: Train Loss = 0.2439, Val Acc = 0.6783
Epoch 388: Train Loss = 0.2272, Val Acc = 0.7304
Epoch 389: Train Loss = 0.4041, Val Acc = 0.5826
Epoch 390: Train Loss = 0.2644, Val Acc = 0.6870
Epoch 391: Train Loss = 0.4339, Val Acc = 0.5652
Epoch 392: Train Loss = 0.2384, Val Acc = 0.7043
